Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Excel para la Gestión Administrativa Empresarial
Maneja Excel como un experto",Jose Gregorio Guevara Liendo,"12,5 horas en total",8 ,Todos los niveles,"14,99 €","19,99 €"
"Construye Dashboards increíbles con Power BI
Construye Dashboards increíbles con Power BI",Master Class,1 hora en total,21 ,Principiante,"14,99 €","19,99 €"
"Herramientas de Análisis de Datos en Excel
urso Avanzado de Análisis de Datos con Excel: Dominando Power Query, Power Pivot, Power Map, Solver y Dashboard",Juan Pablo Enriquez Ortiz,9 horas en total,73 ,Intermedio,"14,99 €","19,99 €"
"Control de Proyectos: Ms Project, Power BI y Risk Analysis
Gestiona tus Proyectos como un Experto",José G Guevara L,"12,5 horas en total",8 ,Experto,"14,99 €","19,99 €"
"Documentando un SG de la Calidad (ISO 9001:2015)
Aprenderas a documentar todos los requisitos de la norma ISO 9001:2015.",Raymundo Salas Santiago,1 hora en total,13 ,Principiante,"14,99 €","79,99 €"
"Excel Básico Paso a Paso para aprender fácil
Curso de Introducción a Excel hasta el diseño de fórmulas complejas y utilidades para uso laboral y personal",Willington Rincón Hoyos,"8,5 horas en total",53 ,Principiante,"14,99 €","19,99 €"
"Microsoft Excel y Google Spreadsheets: Formación Completa
Microsoft Excel y Google Sheets Para Una Alta Productividad. Administre el Trabajo Diario y Cree Informes de Gestión.",Ivan Lourenço Gomes,10 horas en total,65 ,Todos los niveles,"14,99 €","84,99 €"
"Curso de Macros y Visual Basic en Excel
Excel Avanzado",Sergio Gómez Pamies,11 horas en total,87 ,Experto,"14,99 €","19,99 €"
"Curso SAP HCM - SAP HR - desde 0 - Parte 2
Conviértete en Consultor en SAP HCM, impulsa tu carrera y alcanza miles de ofertas laborales.",Maicol Daniel Peligno,"8,5 horas en total",15 ,Todos los niveles,"14,99 €","94,99 €"
"Curso de ofimática Docente
Word, Excel y Power Point",Leonardo Pachas Huacho,20 horas en total,10 ,Principiante,"14,99 €","19,99 €"
"SAP Business One: Curso avanzado de implementacion
SAP Business One: Guia avanzada para implementacion",David Moncada,6 horas en total,42 ,Intermedio,"14,99 €","94,99 €"
"Aprende Tablas Dinámicas Desde Cero
Estructura. Configuración de Campo de Valor. Segmentación. Power Pivot. Relación de Diferentes Tablas. Conexiones",Antonio Formoso,2 horas en total,22 ,Todos los niveles,"14,99 €","19,99 €"
"Control Proyectos con Ms Project, Power BI y Risk Analysis
Gestiona tus proyectos de inicio a fin",José G Guevara L,"12,5 horas en total",8 ,Todos los niveles,"14,99 €","19,99 €"
"Planificación de Tareas y Gestión de Proyectos con ClickUp
Sácale el máximo provecho a ClickUp para planificar tus tareas y gestionar los proyectos en equipo",Miquel Nadal Vela,"4,5 horas en total",53 ,Todos los niveles,"14,99 €","94,99 €"
"Curso SAP HCM - SAP HR - desde 0 - Parte 1
Conviértete en Consultor en SAP HCM, impulsa tu carrera y alcanza miles de ofertas laborales.",Maicol Daniel Peligno,10 horas en total,16 ,Todos los niveles,"14,99 €","94,99 €"
"Proyectos con Ms Project, Power BI y Primavera Risk
Se un experto en uso de Ms Project, Power BI y Primavera Risk",Jose Gregorio Guevara Liendo,13 horas en total,8 ,Todos los niveles,"14,99 €","19,99 €"
"Microsoft Excel aplicado a la Gestión Administrativa Empresa
Aplica Excel para tus procesos de oficina",Alfonso Rinsche,"12,5 horas en total",8 ,Todos los niveles,"14,99 €","34,99 €"
"Aprende Excel Intermedio. Funciones más usadas. Power Pivot
Se un experto usando BUSCARX y BUSCARV. Aprende Power Pivot. Domina bien la Función SI, Formato condiconal y mucho más",Alfonso Rinsche,"3,5 horas en total",31 ,Todos los niveles,"14,99 €","94,99 €"
"Planificación de Tareas y Gestión de Proyectos con Asana
Sácale el máximo provecho a Asana para planificar tus tareas y gestionar los proyectos en equipo",Etraining S.A DE C.V,4 horas en total,60 ,Todos los niveles,"14,99 €","49,99 €"
"Gestión de proyectos con Google Sheets
Gestión y automatizaciones para exprimir Google Sheets al máximo como herramienta de gestión de proyectos",Ricardo Naya,2 horas en total,14 ,Principiante,"14,99 €","94,99 €"
"Gestión Mantenimiento Avanzado SAP PM - Completo
Conviértete en un experto en la gestión del mantenimiento avanzado en SAP ERP y S/4 HANA",Ricardo Naya,"8,5 horas en total",42 ,Experto,"14,99 €","89,99 €"
"Capacitación Técnica SAP Business One B1 v10
Capacitación Técnica SAP Business One - SAP B1 v10",José G Guevara L,1 hora en total,10 ,Todos los niveles,"14,99 €","19,99 €"
"Certificación PL-900 - Microsoft Power Platform Fundamentals
Aprende Power BI, Power Apps, Power Automate y Power Virtual Agents para el examen PL-900 de Microsoft",Antonio Formoso,13 horas en total,153 ,Todos los niveles,"14,99 €","24,99 €"
"Gestión del correo y tareas con Microsoft Outlook y To Do
Sácale el máximo provecho a Outlook y a To Do para gestionar tu correo y tus tareas de la forma más efectiva posible",Miquel Nadal Vela,"2,5 horas en total",41 ,Todos los niveles,"14,99 €","94,99 €"
"Excel para Ciencias Económicas
Re inventa tu trabajo.",Miguel Ángel Pau,6 horas en total,37 ,Todos los niveles,"14,99 €","94,99 €"
"Excel-Tips, Trucos y Atajos que te ahorrarán tiempo
[2023] Tips, trucos y atajos avanzados de Excel, mejore su productividad, impresione a su jefe y supere sus ingresos.",SEPPAT SAS,1 hora en total,40 ,Todos los niveles,"14,99 €","94,99 €"
"Microsoft Lists - Curso Completo Lists - Office 365
Listas de SharePoint para gestionar equipos de trabajo y organizar de forma más efectiva tareas - Microsoft Office 365",Sergio Santiago Arias Ortiz,"3,5 horas en total",58 ,Todos los niveles,"14,99 €","19,99 €"
"Domina la Programación en VBA [Automatiza Tareas en Excel]
Aprende el lenguaje VBA para crear aplicaciones personalizadas en Microsoft Office y otras aplicaciones de Windows.",Ivan AlsiGo,10 horas en total,67 ,Todos los niveles,"14,99 €","94,99 €"
"SAP Business One: el ERP utilizado por más de 70 mil PYMES
Introducción a las funcionalidades más relevantes de SAP Business One, desde una perspectiva de escenarios empresariales",Miquel Nadal Vela,"7,5 horas en total",18 ,Principiante,"14,99 €","69,99 €"
"Gestión del tiempo para mujeres en el mercado de trabajo
Te enseño a dominar la gestión del tiempo y de tu trabajo, para que seas productiva.",Excelquiel Garcia Becerra,"1,5 horas en total",9 ,Todos los niveles,"14,99 €","49,99 €"
